Predictors,OddsRatio,Lower,Upper,Coat
VegHuman/Other,0.575854055,0.25284975,1.31148199,Brown blotched
VegRainforest,0.886761787,0.427305898,1.840242484,Brown blotched
VegShurbland,0.722887321,0.303452076,1.722071198,Brown blotched
VegTallEuc,1.028137658,0.542780623,1.947503281,Brown blotched
VegWoodland,0.872105612,0.455871355,1.668383395,Brown blotched
FPAR,1.057505558,0.873497485,1.280276158,Brown blotched
Elevation,0.737513762,0.587454005,0.925904912,Brown blotched
Isothermality,0.756206826,0.606568344,0.942760647,Brown blotched
Top.Roughness,1.06242923,0.894754503,1.261525777,Brown blotched
DTNT,1.017964995,0.854505416,1.212692992,Brown blotched
VegHuman/Other,1.727386437,0.509996173,5.850757436,Orange
VegRainforest,0.388414901,0.072784702,2.072772606,Orange
VegShurbland,2.321117579,0.744477653,7.236734101,Orange
VegTallEuc,2.450916402,0.964572843,6.22761801,Orange
VegWoodland,1.444532541,0.529677793,3.939516235,Orange
FPAR,1.309429082,1.018373997,1.683668797,Orange
Elevation,1.736969582,1.256625667,2.400924482,Orange
Isothermality,1.303981583,0.963655479,1.764497796,Orange
Top.Roughness,0.740852107,0.563502408,0.974018632,Orange
DTNT,0.917193907,0.702640745,1.197261431,Orange
VegHuman/Other,1.068748858,0.518980568,2.200899596,Brown mackerel
VegRainforest,1.340208057,0.692628547,2.593248057,Brown mackerel
VegShurbland,1.212241705,0.57562573,2.552926103,Brown mackerel
VegTallEuc,1.499007986,0.839151965,2.677733042,Brown mackerel
VegWoodland,1.156863649,0.640572385,2.089277552,Brown mackerel
FPAR,1.175567241,1.00211947,1.379035514,Brown mackerel
Elevation,0.912024642,0.749023351,1.110498019,Brown mackerel
Isothermality,0.941087433,0.777461985,1.13914966,Brown mackerel
Top.Roughness,0.979382959,0.842377539,1.138671126,Brown mackerel
DTNT,1.125184826,0.969495612,1.305875835,Brown mackerel
VegHuman/Other,3.459946585,0.89725784,13.34201813,Tortoiseshell
VegRainforest,0.752285541,0.161911762,3.495320702,Tortoiseshell
VegShurbland,2.431440355,0.622778194,9.492789344,Tortoiseshell
VegTallEuc,2.081432428,0.644410184,6.722986475,Tortoiseshell
VegWoodland,1.398397574,0.400238571,4.885875375,Tortoiseshell
FPAR,0.748378285,0.534550566,1.047740088,Tortoiseshell
Elevation,1.930655542,1.318808474,2.826362504,Tortoiseshell
Isothermality,1.007342434,0.728000395,1.393871195,Tortoiseshell
Top.Roughness,0.720456757,0.526617134,0.985645748,Tortoiseshell
DTNT,1.09135619,0.802146601,1.484838721,Tortoiseshell
